cdkt_bank_tien_gui_tai_cac_tctd_khac_va_cho_vay_cac_tctd_khac | Tiền gửi tại các TCTD khác và cho vay các TCTD khác
cdkt_bank_tien_gui_tai_ngan_hang_nha_nuoc_viet_nam | Tiền gửi tại Ngân hàng nhà nước Việt Nam
cdkt_bank_tien_gui_va_vay_cac_to_chuc_tin_dung_khac | Tiền gửi và vay các Tổ chức tín dụng khác
cdkt_bank_tien_mat_vang_bac_da_quy | Tiền mặt, vàng bạc, đá quý
cdkt_bank_tong_no_phai_tra | TỔNG NỢ PHẢI TRẢ
cdkt_bank_tong_tai_san | TỔNG TÀI SẢN
cdkt_bank_trong_do_loi_the_thuong_mai | Trong đó: Lợi thế thương mại
cdkt_bank_vay_cac_to_chuc_tin_dung_khac | Vay các tổ chức tín dụng khác
cdkt_bank_von_chu_so_huu | VỐN CHỦ SỞ HỮU
cdkt_bank_von_cua_to_chuc_tin_dung | Vốn của tổ chức tín dụng
cdkt_bank_von_dau_tu_xdcb | Vốn đầu tư XDCB
cdkt_bank_von_dieu_le | Vốn điều lệ
cdkt_bank_von_gop_lien_doanh | Vốn Góp liên doanh
cdkt_bank_von_khac | Vốn khác
cdkt_bank_von_tai_tro_uy_thac_dau_tu_cua_chinh_phu_va_cac_to_chuc | Vốn tài trợ, uỷ thác đầu tư của Chính phủ và các tổ chức tín dụng khác
