CDKT | cdkt_phai_tra_nguoi_ban | N/A | Phải trả người bán
CDKT | cdkt_nguoi_mua_tra_tien_truoc | N/A | Người mua trả tiền trước
CDKT | cdkt_thue_va_cac_khoan_phai_tra_nha_nuoc | N/A | Thuế và các khoản phải trả Nhà nước
CDKT | cdkt_phai_tra_nguoi_lao_dong | N/A | Phải trả người lao động
CDKT | cdkt_chi_phi_phai_tra | N/A | Chi phí phải trả
CDKT | cdkt_phai_tra_noi_bo | N/A | Phải trả nội bộ
CDKT | cdkt_phai_tra_ve_xay_dung_co_ban | N/A | Phải trả về xây dựng cơ bản
CDKT | cdkt_doanh_thu_chua_thuc_hien_ngan_han | N/A | Doanh thu chưa thực hiện ngắn hạn
CDKT | cdkt_phai_tra_khac | N/A | Phải trả khác
CDKT | cdkt_vay_ngan_han | N/A | Vay ngắn hạn
CDKT | cdkt_du_phong_cac_khoan_phai_tra_ngan_han | N/A | Dự phòng các khoản phải trả ngắn hạn
CDKT | cdkt_quy_khen_thuong_phuc_loi | N/A | Quỹ khen thưởng, phúc lợi
CDKT | cdkt_quy_binh_on_gia | N/A | Quỹ bình ổn giá
CDKT | cdkt_giao_dich_mua_ban_lai_trai_phieu_chinh_phu_1 | N/A | Giao dịch mua bán lại trái phiếu chính phủ
CDKT | cdkt_no_dai_han | N/A | Nợ dài hạn
CDKT | cdkt_phai_tra_nha_cung_cap_dai_han | N/A | Phải trả nhà cung cấp dài hạn
CDKT | cdkt_nguoi_mua_tra_tien_truoc_dai_han | N/A | Người mua trả tiền trước dài hạn
CDKT | cdkt_chi_phi_phai_tra_dai_han | N/A | Chi phí phải trả dài hạn
CDKT | cdkt_phai_tra_noi_bo_ve_von_kinh_doanh | N/A | Phải trả nội bộ về vốn kinh doanh
CDKT | cdkt_phai_tra_noi_bo_dai_han | N/A | Phải trả nội bộ dài hạn
CDKT | cdkt_doanh_thu_chua_thuc_hien | N/A | Doanh thu chưa thực hiện
